source,customer,suggested
4 barrels on 1 skid,Pro Metal Recycling,
NON FE:Batteries - Auto,Pro Metal Recycling,
NON FE:Batteries - Auto,Pro Metal Recycling,
turnings,Pro Metal Recycling,
one drum,Pro Metal Recycling,
NON FE:Yellow Brass,Pro Metal Recycling,
NON FE:Bare Brite Copper,Pro Metal Recycling,
Fireworks wire,Pro Metal Recycling,
Range lead and brass shells,Pro Metal Recycling,
Brass cont'd,Pro Metal Recycling,
Battery,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
Dirty rads,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
SS turnings cont'd,Pro Metal Recycling,
Unclean car wheels,Pro Metal Recycling,
mixed boards,Pro Metal Recycling,
Yellow brass turnings,Pro Metal Recycling,
BeCu turnings,Pro Metal Recycling,
Al Wheels,Pro Metal Recycling,
copper chops,Pro Metal Recycling,
#2 Ins - fuses for fireworks,Pro Metal Recycling,
#1 Ins copper,Pro Metal Recycling,
Stainless Steel Turnings,Pro Metal Recycling,
AC Rads / Clean,Pro Metal Recycling,
dirty motors,Pro Metal Recycling,
Al rims,Pro Metal Recycling,
Al rims,Pro Metal Recycling,
brass water meters,Pro Metal Recycling,
dirty truck wheels,Pro Metal Recycling,
e-motors,Pro Metal Recycling,
ACR,Pro Metal Recycling,
ACR,Pro Metal Recycling,
#1,Pro Metal Recycling,
#2,Pro Metal Recycling,
Al wheels,Pro Metal Recycling,
Al wheels,Pro Metal Recycling,
KR #2 Ins wire - 24 boxes,Pro Metal Recycling,
Machine wire LG?,Pro Metal Recycling,
al wheels,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HW W,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HWR,Pro Metal Recycling,
#2 ins Cat. 5-6,Pro Metal Recycling,
AL WHEELS,Pro Metal Recycling,
Al Bkg - Transformer,Pro Metal Recycling,
Machine wire - KR,Pro Metal Recycling,
Thermo,Pro Metal Recycling,
Thermo,Pro Metal Recycling,
YB,Pro Metal Recycling,
YB - condenser,Pro Metal Recycling,
Copper chops,Pro Metal Recycling,
Ferrous brokerage for Neil Taylor,Farnsworth Metal Recycling,
Taylor Dirt Works project,Farnsworth Metal Recycling,
Greenwood Project - Fox,Farnsworth Metal Recycling,
Breakable Cast - Fox,Farnsworth Metal Recycling,
Unprepared shearing from IISI,Farnsworth Metal Recycling,
Al BKG,Farnsworth Metal Recycling,
Trash Deduction,Farnsworth Metal Recycling,
Al Bkg,Farnsworth Metal Recycling,
Western HS project 8 loads,J. Solotken & Company,
Western HS project - shredder scrap,J. Solotken & Company,
11 skids,MDK ZeroLandfill,
12 skids,MDK ZeroLandfill,
11 skids,MDK ZeroLandfill,
4017 Bare 12-14  966904-2,MDK ZeroLandfill,
4017 Bare 12-20 966904-3,MDK ZeroLandfill,
Newco,"Newco Metals, Inc",
40 yd roll off load,"Newco Metals, Inc",
NON FE:Aluminum Cans,"Newco Metals, Inc",
6 bales,"Newco Metals, Inc",
4 drums of 301 stainless,"Newco Metals, Inc",
3 bales,"Newco Metals, Inc",
10 Alcoa tubs,"Newco Metals, Inc",
7 bales,"Newco Metals, Inc",
304 Stainless Steel,"Newco Metals, Inc",
17 Alcoa Tubs per PO #29507,"Newco Metals, Inc",
316 Stainless Steel Turnings,"Newco Metals, Inc",
Painted Extrusion W/Iron ( Cast End Too),"Newco Metals, Inc",
304 Stainless Steel,"Newco Metals, Inc",
304 Stainless Steel Turnings,"Newco Metals, Inc",
Al BKG,"Newco Metals, Inc",
Al BKG,"Newco Metals, Inc",
Clean Ext,"Newco Metals, Inc",
Clean Extrusion,"Newco Metals, Inc",
3003 Alum,"Newco Metals, Inc",
Stainless Steel Dumpster,"Newco Metals, Inc",
Stainless Steel,"Newco Metals, Inc",
Stainless Steel,"Newco Metals, Inc",
Stainless Steel Bkg,"Newco Metals, Inc",
Mixed Stainless,"Newco Metals, Inc",
Al Wheels,"Newco Metals, Inc",
Drums and Rotors,"Newco Metals, Inc",
Thermal extrusion,"Newco Metals, Inc",
Wheels = clean,"Newco Metals, Inc",
Wheels - dirty,"Newco Metals, Inc",
Bare EC wire,"Newco Metals, Inc",
304 SST w/ Fe,"Newco Metals, Inc",
Wheels = clean,"Newco Metals, Inc",
SS Boring,"Newco Metals, Inc",
Al Bkg,"Newco Metals, Inc",
Fe turnings,"Newco Metals, Inc",
irony ext,"Newco Metals, Inc",
301 SS,"Newco Metals, Inc",
3003,"Newco Metals, Inc",
Al wheels,"Newco Metals, Inc",
Ti turnings,"Newco Metals, Inc",
Ti solids,"Newco Metals, Inc",
Al Turnings/ SS T,"Newco Metals, Inc",
SPC,"Newco Metals, Inc",
Filter Cake Haul Fee,Lincoln Waste Solutions,
Filter Cake Haul Fee,Lincoln Waste Solutions,
Disposal Fees Special Waste,Lincoln Waste Solutions,
Filter Cake Haul,Lincoln Waste Solutions,
Hauled per Adam,Lincoln Waste Solutions,
Hauled per Adam,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Cardboard from Bolts,Werner & Son,
Brock Warehouse Wood Box / Insulation,Werner & Son,
Cardboard from Value Merch,Werner & Son,
Cardboard from the Yard,Werner & Son,
Vinyl siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
Busheling / 20034,Rochester Iron & Metal,
adjustment for under payment 97729-97750,Rochester Iron & Metal,
4 barrels on 1 skid,Pro Metal Recycling,
NON FE:Batteries - Auto,Pro Metal Recycling,
NON FE:Batteries - Auto,Pro Metal Recycling,
turnings,Pro Metal Recycling,
one drum,Pro Metal Recycling,
NON FE:Yellow Brass,Pro Metal Recycling,
NON FE:Bare Brite Copper,Pro Metal Recycling,
Fireworks wire,Pro Metal Recycling,
Range lead and brass shells,Pro Metal Recycling,
Brass cont'd,Pro Metal Recycling,
Battery,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
Dirty rads,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
SS turnings cont'd,Pro Metal Recycling,
Unclean car wheels,Pro Metal Recycling,
mixed boards,Pro Metal Recycling,
Yellow brass turnings,Pro Metal Recycling,
BeCu turnings,Pro Metal Recycling,
Al Wheels,Pro Metal Recycling,
copper chops,Pro Metal Recycling,
#2 Ins - fuses for fireworks,Pro Metal Recycling,
#1 Ins copper,Pro Metal Recycling,
Stainless Steel Turnings,Pro Metal Recycling,
AC Rads / Clean,Pro Metal Recycling,
dirty motors,Pro Metal Recycling,
Al rims,Pro Metal Recycling,
Al rims,Pro Metal Recycling,
brass water meters,Pro Metal Recycling,
dirty truck wheels,Pro Metal Recycling,
e-motors,Pro Metal Recycling,
ACR,Pro Metal Recycling,
ACR,Pro Metal Recycling,
#1,Pro Metal Recycling,
#2,Pro Metal Recycling,
Al wheels,Pro Metal Recycling,
Al wheels,Pro Metal Recycling,
KR #2 Ins wire - 24 boxes,Pro Metal Recycling,
Machine wire LG?,Pro Metal Recycling,
al wheels,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HW W,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HWR,Pro Metal Recycling,
#2 ins Cat. 5-6,Pro Metal Recycling,
AL WHEELS,Pro Metal Recycling,
Al Bkg - Transformer,Pro Metal Recycling,
Machine wire - KR,Pro Metal Recycling,
Thermo,Pro Metal Recycling,
Thermo,Pro Metal Recycling,
YB,Pro Metal Recycling,
YB - condenser,Pro Metal Recycling,
Copper chops,Pro Metal Recycling,
Ferrous brokerage for Neil Taylor,Farnsworth Metal Recycling,
Taylor Dirt Works project,Farnsworth Metal Recycling,
Greenwood Project - Fox,Farnsworth Metal Recycling,
Breakable Cast - Fox,Farnsworth Metal Recycling,
Unprepared shearing from IISI,Farnsworth Metal Recycling,
Al BKG,Farnsworth Metal Recycling,
Trash Deduction,Farnsworth Metal Recycling,
Al Bkg,Farnsworth Metal Recycling,
Western HS project 8 loads,J. Solotken & Company,
Western HS project - shredder scrap,J. Solotken & Company,
11 skids,MDK ZeroLandfill,
12 skids,MDK ZeroLandfill,
11 skids,MDK ZeroLandfill,
4017 Bare 12-14  966904-2,MDK ZeroLandfill,
4017 Bare 12-20 966904-3,MDK ZeroLandfill,
Newco,"Newco Metals, Inc",
40 yd roll off load,"Newco Metals, Inc",
NON FE:Aluminum Cans,"Newco Metals, Inc",
6 bales,"Newco Metals, Inc",
4 drums of 301 stainless,"Newco Metals, Inc",
3 bales,"Newco Metals, Inc",
10 Alcoa tubs,"Newco Metals, Inc",
7 bales,"Newco Metals, Inc",
304 Stainless Steel,"Newco Metals, Inc",
17 Alcoa Tubs per PO #29507,"Newco Metals, Inc",
316 Stainless Steel Turnings,"Newco Metals, Inc",
Painted Extrusion W/Iron ( Cast End Too),"Newco Metals, Inc",
304 Stainless Steel,"Newco Metals, Inc",
304 Stainless Steel Turnings,"Newco Metals, Inc",
Al BKG,"Newco Metals, Inc",
Al BKG,"Newco Metals, Inc",
Clean Ext,"Newco Metals, Inc",
Clean Extrusion,"Newco Metals, Inc",
3003 Alum,"Newco Metals, Inc",
Stainless Steel Dumpster,"Newco Metals, Inc",
Stainless Steel,"Newco Metals, Inc",
Stainless Steel,"Newco Metals, Inc",
Stainless Steel Bkg,"Newco Metals, Inc",
Mixed Stainless,"Newco Metals, Inc",
Al Wheels,"Newco Metals, Inc",
Drums and Rotors,"Newco Metals, Inc",
Thermal extrusion,"Newco Metals, Inc",
Wheels = clean,"Newco Metals, Inc",
Wheels - dirty,"Newco Metals, Inc",
Bare EC wire,"Newco Metals, Inc",
304 SST w/ Fe,"Newco Metals, Inc",
Wheels = clean,"Newco Metals, Inc",
SS Boring,"Newco Metals, Inc",
Al Bkg,"Newco Metals, Inc",
Fe turnings,"Newco Metals, Inc",
irony ext,"Newco Metals, Inc",
301 SS,"Newco Metals, Inc",
3003,"Newco Metals, Inc",
Al wheels,"Newco Metals, Inc",
Ti turnings,"Newco Metals, Inc",
Ti solids,"Newco Metals, Inc",
Al Turnings/ SS T,"Newco Metals, Inc",
SPC,"Newco Metals, Inc",
Filter Cake Haul Fee,Lincoln Waste Solutions,
Filter Cake Haul Fee,Lincoln Waste Solutions,
Disposal Fees Special Waste,Lincoln Waste Solutions,
Filter Cake Haul,Lincoln Waste Solutions,
Hauled per Adam,Lincoln Waste Solutions,
Hauled per Adam,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Cardboard from Bolts,Werner & Son,
Brock Warehouse Wood Box / Insulation,Werner & Son,
Cardboard from Value Merch,Werner & Son,
Cardboard from the Yard,Werner & Son,
Vinyl siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
adjustment for under payment 97729-97750,Rochester Iron & Metal,
4 barrels on 1 skid,Pro Metal Recycling,
NON FE:Batteries - Auto,Pro Metal Recycling,
NON FE:Batteries - Auto,Pro Metal Recycling,
one drum,Pro Metal Recycling,
NON FE:Yellow Brass,Pro Metal Recycling,
NON FE:Bare Brite Copper,Pro Metal Recycling,
Fireworks wire,Pro Metal Recycling,
Range lead and brass shells,Pro Metal Recycling,
Brass cont'd,Pro Metal Recycling,
Battery,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
Dirty rads,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
SS turnings cont'd,Pro Metal Recycling,
Unclean car wheels,Pro Metal Recycling,
mixed boards,Pro Metal Recycling,
Yellow brass turnings,Pro Metal Recycling,
BeCu turnings,Pro Metal Recycling,
Al Wheels,Pro Metal Recycling,
copper chops,Pro Metal Recycling,
#2 Ins - fuses for fireworks,Pro Metal Recycling,
#1 Ins copper,Pro Metal Recycling,
Stainless Steel Turnings,Pro Metal Recycling,
AC Rads / Clean,Pro Metal Recycling,
dirty motors,Pro Metal Recycling,
Al rims,Pro Metal Recycling,
Al rims,Pro Metal Recycling,
brass water meters,Pro Metal Recycling,
dirty truck wheels,Pro Metal Recycling,
e-motors,Pro Metal Recycling,
ACR,Pro Metal Recycling,
ACR,Pro Metal Recycling,
#1,Pro Metal Recycling,
#2,Pro Metal Recycling,
Al wheels,Pro Metal Recycling,
Al wheels,Pro Metal Recycling,
KR #2 Ins wire - 24 boxes,Pro Metal Recycling,
Machine wire LG?,Pro Metal Recycling,
al wheels,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HW W,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HWR,Pro Metal Recycling,
#2 ins Cat. 5-6,Pro Metal Recycling,
AL WHEELS,Pro Metal Recycling,
Al Bkg - Transformer,Pro Metal Recycling,
Machine wire - KR,Pro Metal Recycling,
Thermo,Pro Metal Recycling,
Thermo,Pro Metal Recycling,
YB,Pro Metal Recycling,
YB - condenser,Pro Metal Recycling,
Copper chops,Pro Metal Recycling,
Ferrous brokerage for Neil Taylor,Farnsworth Metal Recycling,
Taylor Dirt Works project,Farnsworth Metal Recycling,
Greenwood Project - Fox,Farnsworth Metal Recycling,
Breakable Cast - Fox,Farnsworth Metal Recycling,
Unprepared shearing from IISI,Farnsworth Metal Recycling,
Trash Deduction,Farnsworth Metal Recycling,
Western HS project 8 loads,J. Solotken & Company,
Western HS project - shredder scrap,J. Solotken & Company,
11 skids,MDK ZeroLandfill,
12 skids,MDK ZeroLandfill,
11 skids,MDK ZeroLandfill,
4017 Bare 12-14  966904-2,MDK ZeroLandfill,
4017 Bare 12-20 966904-3,MDK ZeroLandfill,
Newco,"Newco Metals, Inc",
40 yd roll off load,"Newco Metals, Inc",
NON FE:Aluminum Cans,"Newco Metals, Inc",
6 bales,"Newco Metals, Inc",
4 drums of 301 stainless,"Newco Metals, Inc",
3 bales,"Newco Metals, Inc",
10 Alcoa tubs,"Newco Metals, Inc",
7 bales,"Newco Metals, Inc",
304 Stainless Steel,"Newco Metals, Inc",
17 Alcoa Tubs per PO #29507,"Newco Metals, Inc",
316 Stainless Steel Turnings,"Newco Metals, Inc",
Painted Extrusion W/Iron ( Cast End Too),"Newco Metals, Inc",
304 Stainless Steel,"Newco Metals, Inc",
304 Stainless Steel Turnings,"Newco Metals, Inc",
Clean Ext,"Newco Metals, Inc",
Clean Extrusion,"Newco Metals, Inc",
3003 Alum,"Newco Metals, Inc",
Stainless Steel Dumpster,"Newco Metals, Inc",
Stainless Steel Bkg,"Newco Metals, Inc",
Mixed Stainless,"Newco Metals, Inc",
Al Wheels,"Newco Metals, Inc",
Thermal extrusion,"Newco Metals, Inc",
Wheels = clean,"Newco Metals, Inc",
Wheels - dirty,"Newco Metals, Inc",
Bare EC wire,"Newco Metals, Inc",
304 SST w/ Fe,"Newco Metals, Inc",
Wheels = clean,"Newco Metals, Inc",
SS Boring,"Newco Metals, Inc",
Fe turnings,"Newco Metals, Inc",
irony ext,"Newco Metals, Inc",
301 SS,"Newco Metals, Inc",
3003,"Newco Metals, Inc",
Al wheels,"Newco Metals, Inc",
Ti turnings,"Newco Metals, Inc",
Ti solids,"Newco Metals, Inc",
Al Turnings/ SS T,"Newco Metals, Inc",
SPC,"Newco Metals, Inc",
Filter Cake Haul Fee,Lincoln Waste Solutions,
Filter Cake Haul Fee,Lincoln Waste Solutions,
Disposal Fees Special Waste,Lincoln Waste Solutions,
Filter Cake Haul,Lincoln Waste Solutions,
Hauled per Adam,Lincoln Waste Solutions,
Hauled per Adam,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Cardboard from Bolts,Werner & Son,
Brock Warehouse Wood Box / Insulation,Werner & Son,
Cardboard from Value Merch,Werner & Son,
Cardboard from the Yard,Werner & Son,
Vinyl siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl Siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
Vinyl siding,Fryman's Recycling #1,
adjustment for under payment 97729-97750,Rochester Iron & Metal,
4 barrels on 1 skid,Pro Metal Recycling,
NON FE:Batteries - Auto,Pro Metal Recycling,
NON FE:Batteries - Auto,Pro Metal Recycling,
one drum,Pro Metal Recycling,
NON FE:Yellow Brass,Pro Metal Recycling,
NON FE:Bare Brite Copper,Pro Metal Recycling,
Fireworks wire,Pro Metal Recycling,
Range lead and brass shells,Pro Metal Recycling,
Brass cont'd,Pro Metal Recycling,
Battery,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
Dirty rads,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
Antennas,Pro Metal Recycling,
SS turnings cont'd,Pro Metal Recycling,
Unclean car wheels,Pro Metal Recycling,
mixed boards,Pro Metal Recycling,
Yellow brass turnings,Pro Metal Recycling,
BeCu turnings,Pro Metal Recycling,
Al Wheels,Pro Metal Recycling,
copper chops,Pro Metal Recycling,
#2 Ins - fuses for fireworks,Pro Metal Recycling,
#1 Ins copper,Pro Metal Recycling,
Stainless Steel Turnings,Pro Metal Recycling,
AC Rads / Clean,Pro Metal Recycling,
dirty motors,Pro Metal Recycling,
Al rims,Pro Metal Recycling,
Al rims,Pro Metal Recycling,
brass water meters,Pro Metal Recycling,
dirty truck wheels,Pro Metal Recycling,
e-motors,Pro Metal Recycling,
ACR,Pro Metal Recycling,
ACR,Pro Metal Recycling,
#1,Pro Metal Recycling,
#2,Pro Metal Recycling,
Al wheels,Pro Metal Recycling,
Al wheels,Pro Metal Recycling,
KR #2 Ins wire - 24 boxes,Pro Metal Recycling,
Machine wire LG?,Pro Metal Recycling,
al wheels,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HW W,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HW R,Pro Metal Recycling,
HWR,Pro Metal Recycling,
#2 ins Cat. 5-6,Pro Metal Recycling,
AL WHEELS,Pro Metal Recycling,
Al Bkg - Transformer,Pro Metal Recycling,
Machine wire - KR,Pro Metal Recycling,
Thermo,Pro Metal Recycling,
Thermo,Pro Metal Recycling,
YB,Pro Metal Recycling,
YB - condenser,Pro Metal Recycling,
Copper chops,Pro Metal Recycling,
Ferrous brokerage for Neil Taylor,Farnsworth Metal Recycling,
Taylor Dirt Works project,Farnsworth Metal Recycling,
Greenwood Project - Fox,Farnsworth Metal Recycling,
Breakable Cast - Fox,Farnsworth Metal Recycling,
Unprepared shearing from IISI,Farnsworth Metal Recycling,
Trash Deduction,Farnsworth Metal Recycling,
Western HS project 8 loads,J. Solotken & Company,
Western HS project - shredder scrap,J. Solotken & Company,
11 skids,MDK ZeroLandfill,
12 skids,MDK ZeroLandfill,
11 skids,MDK ZeroLandfill,
4017 Bare 12-14  966904-2,MDK ZeroLandfill,
4017 Bare 12-20 966904-3,MDK ZeroLandfill,
Newco,"Newco Metals, Inc",
40 yd roll off load,"Newco Metals, Inc",
NON FE:Aluminum Cans,"Newco Metals, Inc",
6 bales,"Newco Metals, Inc",
4 drums of 301 stainless,"Newco Metals, Inc",
3 bales,"Newco Metals, Inc",
10 Alcoa tubs,"Newco Metals, Inc",
7 bales,"Newco Metals, Inc",
304 Stainless Steel,"Newco Metals, Inc",
17 Alcoa Tubs per PO #29507,"Newco Metals, Inc",
316 Stainless Steel Turnings,"Newco Metals, Inc",
Painted Extrusion W/Iron ( Cast End Too),"Newco Metals, Inc",
304 Stainless Steel,"Newco Metals, Inc",
304 Stainless Steel Turnings,"Newco Metals, Inc",
Clean Ext,"Newco Metals, Inc",
Clean Extrusion,"Newco Metals, Inc",
3003 Alum,"Newco Metals, Inc",
Stainless Steel Dumpster,"Newco Metals, Inc",
Stainless Steel Bkg,"Newco Metals, Inc",
Mixed Stainless,"Newco Metals, Inc",
Al Wheels,"Newco Metals, Inc",
Thermal extrusion,"Newco Metals, Inc",
Wheels = clean,"Newco Metals, Inc",
Wheels - dirty,"Newco Metals, Inc",
Bare EC wire,"Newco Metals, Inc",
304 SST w/ Fe,"Newco Metals, Inc",
Wheels = clean,"Newco Metals, Inc",
SS Boring,"Newco Metals, Inc",
Fe turnings,"Newco Metals, Inc",
irony ext,"Newco Metals, Inc",
301 SS,"Newco Metals, Inc",
3003,"Newco Metals, Inc",
Al wheels,"Newco Metals, Inc",
Ti turnings,"Newco Metals, Inc",
Ti solids,"Newco Metals, Inc",
Al Turnings/ SS T,"Newco Metals, Inc",
SPC,"Newco Metals, Inc",
Filter Cake Haul Fee,Lincoln Waste Solutions,
Filter Cake Haul Fee,Lincoln Waste Solutions,
Disposal Fees Special Waste,Lincoln Waste Solutions,
Filter Cake Haul,Lincoln Waste Solutions,
Hauled per Adam,Lincoln Waste Solutions,
Hauled per Adam,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Hauled per Mike,Lincoln Waste Solutions,
Cardboard from Bolts,Werner & Son,
Brock Warehouse Wood Box / Insulation,Werner & Son,
Cardboard from Value Merch,Werner & Son,
Cardboard from the Yard,Werner & Son,
